murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,violentPerPop,nonViolPerPop
0,0.0,,,2.0,12.1,16.0,96.82,120.0,726.17,369.0,2232.98,40.0,242.06,1.0,6.05,,3207.26
1,4.65,9.0,41.81,2.0,9.29,8.0,37.16,134.0,622.47,502.0,2331.96,35.0,162.59,1.0,4.65,92.91,3121.66
1,3.0,8.0,24.03,281.0,843.97,72.0,216.25,472.0,1417.63,1755.0,5271.06,221.0,663.76,14.0,42.05,1087.25,7394.5
0,0.0,2.0,13.97,14.0,97.77,18.0,125.71,62.0,432.99,186.0,1298.97,31.0,216.5,0.0,0.0,237.45,1948.46
1,2.88,16.0,46.03,37.0,106.44,20.0,57.53,587.0,1688.58,1533.0,4409.86,103.0,296.29,3.0,8.63,212.87,6403.36
45,13.89,357.0,110.19,1594.0,492.02,1195.0,368.86,5502.0,1698.29,15251.0,4707.51,4517.0,1394.26,357.0,110.19,984.96,7910.25
439,28.7,785.0,51.31,11531.0,753.74,6821.0,445.86,15117.0,988.14,39181.0,2561.1,23785.0,1554.73,2282.0,149.17,1279.6,5253.14
1,1.17,11.0,12.82,27.0,31.46,181.0,210.9,479.0,558.12,1467.0,1709.31,248.0,288.96,0.0,0.0,256.34,2556.39
0,0.0,10.0,31.02,24.0,74.45,12.0,37.23,293.0,908.95,948.0,2940.9,78.0,241.97,0.0,0.0,142.7,4091.83
3,4.47,45.0,67.0,107.0,159.32,351.0,522.63,560.0,833.83,2316.0,3448.48,184.0,273.97,50.0,74.45,753.42,4630.73
2,8.76,0.0,0.0,14.0,61.34,12.0,52.58,169.0,740.51,435.0,1906.06,12.0,52.58,5.0,21.91,122.69,2721.06
8,26.85,15.0,50.34,134.0,449.74,394.0,1322.37,568.0,1906.36,1221.0,4098.0,137.0,459.81,3.0,10.07,1849.3,6474.24
5,4.32,33.0,28.5,137.0,118.34,481.0,415.48,,,5181.0,4475.25,761.0,657.34,93.0,80.33,566.64,
2,7.89,,,25.0,98.58,30.0,118.29,124.0,488.94,523.0,2062.22,113.0,445.57,4.0,15.77,,3012.5
0,0.0,2.0,14.83,1.0,7.42,4.0,29.66,50.0,370.81,386.0,2862.65,15.0,111.24,4.0,29.66,51.91,3374.37
0,0.0,3.0,7.91,20.0,52.76,13.0,34.3,200.0,527.63,1030.0,2717.32,70.0,184.67,26.0,68.59,94.97,3498.22
0,0.0,23.0,102.18,4.0,17.77,68.0,302.1,155.0,688.61,835.0,3709.63,24.0,106.62,14.0,62.2,422.05,4567.06
0,0.0,15.0,37.91,38.0,96.04,126.0,318.45,324.0,818.86,968.0,2446.48,36.0,90.98,13.0,32.86,452.4,3389.19
2,18.94,5.0,47.34,18.0,170.42,18.0,170.42,65.0,615.41,200.0,1893.58,121.0,1145.62,9.0,85.21,407.12,3739.82
14,8.14,102.0,59.32,596.0,346.59,2200.0,1279.37,2817.0,1638.17,6027.0,3504.88,1609.0,935.68,173.0,100.6,1693.42,6179.34
1,7.46,1.0,7.46,17.0,126.74,43.0,320.58,150.0,1118.32,606.0,4518.0,42.0,313.13,1.0,7.46,462.24,5956.91
4,4.65,,,65.0,75.59,103.0,119.79,715.0,831.52,3658.0,4254.13,417.0,484.96,,,,
1,4.61,3.0,13.82,12.0,55.27,9.0,41.45,102.0,469.79,276.0,1271.19,89.0,409.91,2.0,9.21,115.14,2160.1
0,0.0,4.0,13.68,3.0,10.26,16.0,54.72,144.0,492.44,784.0,2681.08,110.0,376.17,1.0,3.42,78.65,3553.11
1,7.88,8.0,63.04,5.0,39.4,111.0,874.7,94.0,740.74,489.0,3853.43,21.0,165.48,1.0,7.88,985.03,4767.53
0,0.0,13.0,14.89,28.0,32.06,74.0,84.74,676.0,774.07,2454.0,2810.0,110.0,125.96,5.0,5.73,131.68,3715.75
0,0.0,,,9.0,16.62,24.0,44.33,220.0,406.32,1050.0,1939.24,24.0,44.33,3.0,5.54,,2395.42
0,0.0,,,3.0,12.92,61.0,262.61,157.0,675.91,618.0,2660.58,47.0,202.34,9.0,38.75,,3577.58
4,26.23,11.0,72.14,15.0,98.37,143.0,937.77,289.0,1895.21,458.0,3003.48,53.0,347.56,7.0,45.9,1134.5,5292.15
44,9.78,314.0,69.78,894.0,198.68,3111.0,691.36,7363.0,1636.29,32076.0,7128.3,5143.0,1142.94,162.0,36.0,969.6,9943.53
1,4.19,5.0,20.94,10.0,41.87,44.0,184.24,266.0,1113.81,557.0,2332.3,46.0,192.61,7.0,29.31,251.24,3668.03
1,8.19,7.0,57.36,9.0,73.75,97.0,794.82,214.0,1753.52,451.0,3695.51,30.0,245.82,5.0,40.97,934.12,5735.82
0,0.0,31.0,148.32,14.0,66.98,34.0,162.67,171.0,818.14,701.0,3353.91,70.0,334.91,9.0,43.06,377.97,4550.02
0,0.0,6.0,53.92,0.0,0.0,93.0,835.73,105.0,943.57,101.0,907.62,18.0,161.75,3.0,26.96,889.65,2039.9
1,5.74,1.0,5.74,2.0,11.49,3.0,17.23,62.0,356.12,176.0,1010.91,47.0,269.96,3.0,17.23,40.21,1654.22
0,0.0,,,43.0,236.86,50.0,275.42,256.0,1410.16,1203.0,6626.64,103.0,567.37,7.0,38.56,,8642.72
0,0.0,19.0,51.17,56.0,150.83,98.0,263.95,414.0,1115.06,1188.0,3199.74,262.0,705.67,16.0,43.09,465.96,5063.56
1,8.83,1.0,8.83,3.0,26.48,12.0,105.91,75.0,661.96,180.0,1588.7,10.0,88.26,0.0,0.0,150.04,2338.92
0,0.0,0.0,0.0,3.0,24.78,3.0,24.78,12.0,99.12,93.0,768.21,18.0,148.69,2.0,16.52,49.56,1032.55
2,4.67,22.0,51.39,29.0,67.74,723.0,1688.82,609.0,1422.53,666.0,1555.67,128.0,298.99,0.0,0.0,1812.62,3277.2
0,0.0,2.0,11.23,5.0,28.07,16.0,89.83,50.0,280.71,246.0,1381.09,75.0,421.06,2.0,11.23,129.13,2094.09
58,12.65,479.0,104.44,2305.0,502.59,5603.0,1221.7,7845.0,1710.56,27016.0,5890.68,8459.0,1844.43,604.0,131.7,1841.38,9577.37
0,0.0,10.0,31.06,55.0,170.84,32.0,99.4,141.0,437.98,1067.0,3314.39,86.0,267.14,6.0,18.64,301.31,4038.14
12,8.64,30.0,21.6,430.0,309.54,390.0,280.75,1582.0,1138.83,4096.0,2948.59,1704.0,1226.66,54.0,38.87,620.53,5352.95
0,0.0,2.0,11.57,3.0,17.35,28.0,161.92,126.0,728.66,399.0,2307.43,46.0,266.02,0.0,0.0,190.84,3302.11
3,4.4,15.0,22.02,106.0,155.59,371.0,544.58,513.0,753.02,1876.0,2753.72,453.0,664.94,2.0,2.94,726.59,4174.62
0,0.0,0.0,0.0,7.0,52.19,3.0,22.37,79.0,589.02,307.0,2288.99,38.0,283.33,3.0,22.37,74.56,3183.72
0,0.0,,,2.0,15.21,7.0,53.23,46.0,349.81,201.0,1528.52,5.0,38.02,6.0,45.63,,1961.98
0,0.0,2.0,17.0,1.0,8.5,37.0,314.47,151.0,1283.36,277.0,2354.24,12.0,101.99,0.0,0.0,339.96,3739.59
0,0.0,19.0,37.7,14.0,27.78,28.0,55.55,234.0,464.26,2202.0,4368.79,195.0,386.88,14.0,27.78,121.02,5247.7
22,18.39,130.0,108.69,1238.0,1035.08,1154.0,964.85,3417.0,2856.93,7719.0,6453.8,1873.0,1566.0,134.0,112.04,2127.02,10988.76
0,0.0,4.0,36.38,34.0,309.2,51.0,463.81,142.0,1291.38,440.0,4001.46,144.0,1309.57,2.0,18.19,809.39,6620.59
0,0.0,,,78.0,313.81,38.0,152.88,215.0,864.98,1039.0,4180.08,317.0,1275.35,1.0,4.02,,6324.43
3,14.58,2.0,9.72,6.0,29.15,30.0,145.76,59.0,286.66,498.0,2419.59,58.0,281.8,1.0,4.86,199.2,2992.91
0,0.0,5.0,47.14,15.0,141.42,142.0,1338.74,82.0,773.07,465.0,4383.9,16.0,150.84,1.0,9.43,1527.29,5317.24
1,3.04,1.0,3.04,9.0,27.38,17.0,51.71,177.0,538.42,622.0,1892.07,43.0,130.8,3.0,9.13,85.17,2570.42
5,7.71,21.0,32.38,150.0,231.3,296.0,456.44,975.0,1503.47,1620.0,2498.07,616.0,949.88,16.0,24.67,727.83,4976.1
1,4.68,9.0,42.11,23.0,107.61,134.0,626.93,601.0,2811.83,794.0,3714.79,142.0,664.36,16.0,74.86,781.32,7265.84
0,0.0,0.0,0.0,6.0,33.89,59.0,333.24,111.0,626.94,542.0,3061.28,28.0,158.15,7.0,39.54,367.13,3885.91
5,8.82,19.0,33.52,7.0,12.35,57.0,100.56,479.0,845.07,2625.0,4631.1,112.0,197.59,10.0,17.64,155.25,5691.4
3,23.46,41.0,320.61,70.0,547.39,95.0,742.88,301.0,2353.77,2481.0,19401.0,288.0,2252.11,14.0,109.48,1634.34,24116.36
0,0.0,1.0,3.81,16.0,60.9,49.0,186.52,120.0,456.78,490.0,1865.17,61.0,232.2,2.0,7.61,251.23,2561.76
3,8.61,5.0,14.35,51.0,146.36,69.0,198.01,309.0,886.76,1521.0,4364.92,222.0,637.09,16.0,45.92,367.33,5934.68
0,0.0,3.0,16.99,18.0,101.92,78.0,441.65,170.0,962.57,500.0,2831.1,74.0,419.0,1.0,5.66,560.56,4218.33
9,6.63,137.0,100.91,790.0,581.91,1754.0,1292.0,3970.0,2924.3,10701.0,7882.35,2065.0,1521.08,30.0,22.1,1981.45,12349.83
0,0.0,0.0,0.0,4.0,33.55,6.0,50.33,97.0,813.69,487.0,4085.23,16.0,134.22,1.0,8.39,83.89,5041.52
0,0.0,2.0,13.29,2.0,13.29,2.0,13.29,108.0,717.66,787.0,5229.58,35.0,232.57,3.0,19.93,39.87,6199.75
0,0.0,,,2.0,19.08,21.0,200.38,57.0,543.89,310.0,2958.02,16.0,152.67,2.0,19.08,,3673.66
0,0.0,0.0,0.0,0.0,0.0,13.0,60.9,95.0,445.03,340.0,1592.73,44.0,206.12,0.0,0.0,60.9,2243.88
0,0.0,0.0,0.0,1.0,5.42,12.0,64.99,81.0,438.67,150.0,812.35,16.0,86.65,2.0,10.83,70.4,1348.5
1,4.66,9.0,41.98,0.0,0.0,42.0,195.9,157.0,732.28,1182.0,5513.06,31.0,144.59,10.0,46.64,242.54,6436.57
2,4.65,29.0,67.42,32.0,74.4,184.0,427.78,483.0,1122.92,1020.0,2371.38,298.0,692.81,47.0,109.27,574.24,4296.38
0,0.0,7.0,21.47,42.0,128.85,45.0,138.05,258.0,791.48,748.0,2294.69,175.0,536.86,8.0,24.54,288.37,3647.57
6,8.49,59.0,83.45,208.0,294.21,786.0,1111.77,963.0,1362.13,4048.0,5725.76,457.0,646.41,6.0,8.49,1497.92,7742.79
0,0.0,,,39.0,112.22,69.0,198.54,372.0,1070.38,1126.0,3239.91,167.0,480.52,5.0,14.39,,4805.2
0,0.0,28.0,119.98,38.0,162.83,93.0,398.51,383.0,1641.17,1227.0,5257.75,59.0,252.82,21.0,89.99,681.32,7241.72
0,0.0,2.0,16.18,1.0,8.09,21.0,169.92,73.0,590.66,190.0,1537.34,24.0,194.19,1.0,8.09,194.19,2330.29
0,0.0,8.0,35.33,7.0,30.91,27.0,119.24,147.0,649.18,718.0,3170.82,29.0,128.07,7.0,30.91,185.48,3978.98
1076,31.04,1773.0,51.15,38415.0,1108.27,42437.0,1224.31,50232.0,1449.19,119092.0,3435.8,59764.0,1724.19,5119.0,147.68,2414.77,6756.86
0,0.0,5.0,37.76,33.0,249.24,39.0,294.56,168.0,1268.88,276.0,2084.59,242.0,1827.79,1.0,7.55,581.57,5188.82
0,0.0,0.0,0.0,16.0,98.5,16.0,98.5,20.0,123.12,231.0,1422.06,57.0,350.9,29.0,178.53,197.0,2074.61
1,3.6,17.0,61.22,15.0,54.02,43.0,154.85,347.0,1249.64,1403.0,5052.58,100.0,360.13,29.0,104.44,273.7,6766.78
0,0.0,,,22.0,93.43,94.0,399.2,200.0,849.37,737.0,3129.91,56.0,237.82,13.0,55.21,,4272.31
0,0.0,5.0,23.62,2.0,9.45,44.0,207.85,88.0,415.7,322.0,1521.09,21.0,99.2,9.0,42.51,240.92,2078.51
6,18.55,9.0,27.82,121.0,374.07,215.0,664.67,218.0,673.94,844.0,2609.21,85.0,262.78,21.0,64.92,1085.11,3610.84
0,0.0,16.0,42.82,15.0,40.14,78.0,208.73,210.0,561.96,776.0,2076.59,69.0,184.65,14.0,37.46,291.69,2860.66
1,1.34,30.0,40.15,108.0,144.55,300.0,401.52,571.0,764.22,3532.0,4727.17,166.0,222.17,30.0,40.15,587.55,5753.71
0,0.0,1.0,8.34,2.0,16.68,75.0,625.47,133.0,1109.17,934.0,7789.18,38.0,316.9,0.0,0.0,650.49,9215.24
0,0.0,4.0,21.17,29.0,153.46,55.0,291.04,118.0,624.4,653.0,3455.39,55.0,291.04,6.0,31.75,465.66,4402.58
0,0.0,0.0,0.0,13.0,99.36,16.0,122.29,74.0,565.58,593.0,4532.25,41.0,313.36,0.0,0.0,221.64,5411.19
3,9.03,12.0,36.13,18.0,54.2,39.0,117.43,347.0,1044.87,820.0,2469.14,66.0,198.74,37.0,111.41,216.8,3824.15
13,6.63,112.0,57.16,354.0,180.65,1079.0,550.63,2699.0,1377.35,10965.0,5595.64,730.0,372.53,74.0,37.76,795.08,7383.29
1,7.09,10.0,70.93,9.0,63.84,31.0,219.89,120.0,851.18,924.0,6554.12,35.0,248.26,0.0,0.0,361.75,7653.57
1,5.84,28.0,163.47,20.0,116.76,41.0,239.36,198.0,1155.93,1234.0,7204.16,42.0,245.2,27.0,157.63,525.42,8762.92
5,11.66,22.0,51.31,179.0,417.46,421.0,981.86,810.0,1889.08,1620.0,3778.16,170.0,396.47,2.0,4.66,1462.29,6068.38
0,0.0,1.0,5.97,0.0,0.0,14.0,83.64,63.0,376.37,120.0,716.89,9.0,53.77,1.0,5.97,89.61,1153.0
2,1.83,,,129.0,117.89,336.0,307.06,1101.0,1006.18,4032.0,3684.75,260.0,237.61,35.0,31.99,,4960.52
0,0.0,40.0,133.72,7.0,23.4,21.0,70.2,255.0,852.44,602.0,2012.44,102.0,340.98,31.0,103.63,227.32,3309.49
4,28.26,20.0,141.32,140.0,989.26,211.0,1490.96,537.0,3794.52,1416.0,10005.65,293.0,2070.38,7.0,49.46,2649.8,15920.01
0,0.0,0.0,0.0,0.0,0.0,6.0,46.52,4.0,31.01,89.0,690.08,10.0,77.54,1.0,7.75,46.52,806.39
1,6.78,1.0,6.78,5.0,33.92,4.0,27.13,23.0,156.02,646.0,4382.04,36.0,244.2,0.0,0.0,74.62,4782.25
1,1.77,23.0,40.64,287.0,507.07,182.0,321.55,900.0,1590.11,1171.0,2068.9,538.0,950.53,7.0,12.37,871.02,4621.91
1,3.38,1.0,3.38,17.0,57.39,36.0,121.54,111.0,374.75,526.0,1775.83,64.0,216.07,6.0,20.26,185.69,2386.9
48,34.55,,,1039.0,747.84,2507.0,1804.45,4024.0,2896.34,7701.0,5542.92,2307.0,1660.5,338.0,243.28,,10343.04
5,12.05,18.0,43.39,311.0,749.76,289.0,696.72,797.0,1921.41,1959.0,4722.76,337.0,812.44,19.0,45.81,1501.93,7502.41
5,15.87,14.0,44.43,78.0,247.56,360.0,1142.6,296.0,939.47,856.0,2716.86,98.0,311.04,4.0,12.7,1450.47,3980.07
4,15.4,11.0,42.35,194.0,746.87,400.0,1539.94,367.0,1412.9,388.0,1493.74,294.0,1131.86,37.0,142.44,2344.56,4180.94
1,4.63,8.0,37.07,2.0,9.27,3.0,13.9,85.0,393.92,397.0,1839.84,22.0,101.96,0.0,0.0,64.88,2335.71
0,0.0,9.0,23.81,14.0,37.04,26.0,68.79,333.0,881.0,884.0,2338.75,92.0,243.4,0.0,0.0,129.64,3463.15
2,5.91,16.0,47.24,49.0,144.68,50.0,147.63,528.0,1558.99,1396.0,4121.88,86.0,253.93,,,345.46,
0,0.0,5.0,32.6,6.0,39.12,30.0,195.61,52.0,339.05,218.0,1421.4,32.0,208.65,6.0,39.12,267.33,2008.22
0,0.0,5.0,40.23,7.0,56.32,8.0,64.37,104.0,836.82,249.0,2003.54,39.0,313.81,0.0,0.0,160.93,3154.17
0,0.0,1.0,3.22,4.0,12.88,20.0,64.4,46.0,148.12,293.0,943.46,44.0,141.68,1.0,3.22,80.5,1236.48
1,4.94,2.0,9.87,10.0,49.37,68.0,335.69,99.0,488.72,501.0,2473.22,31.0,153.03,4.0,19.75,399.86,3134.72
0,0.0,1.0,7.67,1.0,7.67,7.0,53.66,65.0,498.31,139.0,1065.62,16.0,122.66,1.0,7.67,69.0,1694.27
28,70.83,53.0,134.07,538.0,1360.92,1309.0,3311.24,958.0,2423.35,1494.0,3779.22,953.0,2410.71,62.0,156.83,4877.06,8770.11
1,9.1,7.0,63.69,12.0,109.19,81.0,737.03,266.0,2420.38,706.0,6424.02,31.0,282.07,7.0,63.69,919.02,9190.17
43,14.83,247.0,85.21,2965.0,1022.83,6124.0,2112.58,8987.0,3100.23,18534.0,6393.64,8473.0,2922.91,214.0,73.82,3235.45,12490.6
317,30.42,1000.0,95.96,7420.0,712.03,9439.0,905.78,20975.0,2012.79,54183.0,5199.46,17465.0,1675.96,1324.0,127.05,1744.19,9015.27
0,0.0,6.0,32.78,4.0,21.86,4.0,21.86,109.0,595.56,580.0,3169.05,43.0,234.95,0.0,0.0,76.49,3999.56
2,3.44,45.0,77.51,44.0,75.78,106.0,182.57,6898.0,11881.02,3179.0,5475.46,261.0,449.54,31.0,53.39,339.31,17859.42
1,3.56,9.0,32.0,32.0,113.76,185.0,657.68,565.0,2008.6,1296.0,4607.34,185.0,657.68,19.0,67.55,807.0,7341.18
4,10.13,7.0,17.73,305.0,772.48,52.0,131.7,406.0,1028.29,1450.0,3672.47,469.0,1187.85,1.0,2.53,932.05,5891.14
0,0.0,5.0,33.58,3.0,20.15,27.0,181.32,91.0,611.11,527.0,3539.05,28.0,188.03,6.0,40.29,235.04,4378.48
6,7.66,42.0,53.59,555.0,708.13,334.0,426.16,1521.0,1940.67,3362.0,4289.63,585.0,746.41,52.0,66.35,1195.53,7043.06
0,0.0,1.0,4.94,38.0,187.67,223.0,1101.34,291.0,1437.18,1519.0,7501.98,32.0,158.04,4.0,19.76,1293.95,9116.95
52,58.83,82.0,92.77,977.0,1105.38,1752.0,1982.21,2153.0,2435.91,3786.0,4283.48,1460.0,1651.85,112.0,126.72,3239.2,8497.95
2,4.86,20.0,48.56,43.0,104.4,85.0,206.38,258.0,626.41,1003.0,2435.23,659.0,1600.02,8.0,19.42,364.19,4681.09
0,0.0,6.0,11.57,37.0,71.37,50.0,96.44,205.0,395.4,1055.0,2034.87,108.0,208.31,11.0,21.22,179.38,2659.8
0,0.0,4.0,28.91,0.0,0.0,2.0,14.46,72.0,520.42,344.0,2486.45,29.0,209.61,6.0,43.37,43.37,3259.85
0,0.0,0.0,0.0,5.0,35.15,18.0,126.54,157.0,1103.69,677.0,4759.23,141.0,991.21,0.0,0.0,161.69,6854.13
8,32.2,39.0,156.97,84.0,338.1,681.0,2740.99,590.0,2374.72,1846.0,7430.07,131.0,527.27,,,3268.26,
0,0.0,0.0,0.0,5.0,42.25,15.0,126.74,68.0,574.57,241.0,2036.33,10.0,84.5,4.0,33.8,168.99,2729.19
0,0.0,2.0,5.11,12.0,30.64,56.0,143.0,456.0,1164.45,1562.0,3988.76,202.0,515.83,16.0,40.86,178.75,5709.91
0,0.0,10.0,66.14,3.0,19.84,22.0,145.5,162.0,1071.43,428.0,2830.69,15.0,99.21,4.0,26.46,231.48,4027.78
0,0.0,4.0,12.91,10.0,32.27,18.0,58.09,200.0,645.49,383.0,1236.12,81.0,261.43,2.0,6.45,103.28,2149.5
3,4.56,20.0,30.4,25.0,38.0,86.0,130.73,675.0,1026.05,3352.0,5095.31,171.0,259.93,41.0,62.32,203.69,6443.62
5,5.05,30.0,30.33,184.0,186.01,225.0,227.45,1250.0,1263.62,4918.0,4971.59,975.0,985.63,26.0,26.28,448.84,7247.12
0,0.0,3.0,24.85,18.0,149.09,22.0,182.22,143.0,1184.46,279.0,2310.94,101.0,836.58,17.0,140.81,356.17,4472.79
0,0.0,2.0,12.01,82.0,492.26,28.0,168.09,224.0,1344.7,498.0,2989.55,496.0,2977.55,0.0,0.0,672.35,7311.8
0,0.0,6.0,44.94,16.0,119.84,109.0,816.42,106.0,793.95,769.0,5759.87,75.0,561.76,9.0,67.41,981.2,7182.98
